Date,Lat,Long
7/28/2020 18:05,-21.859,16.285
7/28/2020 18:10,-35.513,30.777
7/28/2020 18:15,-46.327,50.855
7/28/2020 18:20,-51.644,78.043
7/28/2020 18:25,-49.212,107.005
7/28/2020 18:30,-40.167,129.904
